"plot_id","range","column","plot_name","rep","block","phenotype_id","trait_id","phenotype_value","phenotype_date","phenotype_person","notes","meta_data","meta_type","sampling_datetime","sampling_time","sampling_date"
"18ASH3-F-0012",0,12,"Everest",1,0,1812850,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:18","2018-06-26"
"18ASH3-F-0013",0,13,"Everest",1,0,1812851,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:17","2018-06-26"
"18ASH3-F-0014",0,14,"Everest",1,0,1812852,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:16","2018-06-26"
"18ASH3-F-0015",0,15,"Everest",1,0,1812853,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:16","2018-06-26"
"18ASH3-F-0016",0,16,"Everest",1,0,1812854,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:15","2018-06-26"
"18ASH3-F-0017",0,17,"Everest",1,0,1812855,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:14","2018-06-26"
"18ASH3-F-0018",0,18,"TX05V7259",1,0,1812856,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:13","2018-06-26"
"18ASH3-F-0019",0,19,"Everest",1,0,1812857,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:13","2018-06-26"
"18ASH3-F-0020",0,20,"Everest",1,0,1812858,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:12","2018-06-26"
"18ASH3-F-0021",0,21,"Everest",1,0,1812859,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:11","2018-06-26"
"18ASH3-F-0022",0,22,"Everest",1,0,1812860,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:11","2018-06-26"
"18ASH3-F-0023",0,23,"Everest",1,0,1812861,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:10","2018-06-26"
"18ASH3-F-0024",0,24,"CULVER",1,0,1812862,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:09","2018-06-26"
"18ASH3-F-0025",0,25,"Everest",1,0,1812863,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:08","2018-06-26"
"18ASH3-F-0026",0,26,"Everest",1,0,1812864,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:07","2018-06-26"
"18ASH3-F-0027",0,27,"Everest",1,0,1812865,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:06","2018-06-26"
"18ASH3-F-0100",1,0,"Everest",1,1,1812866,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:28","2018-06-26"
"18ASH3-F-0127",1,27,"Everest",1,1,1812867,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:38:00","15:38:43","2018-06-26"
"18ASH3-F-0200",2,0,"Everest",1,2,1812868,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:39:00","15:39:35","2018-06-26"
"18ASH3-F-0227",2,27,"Everest",1,2,1812869,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:38:00","15:38:45","2018-06-26"
"18ASH3-F-0300",3,0,"Everest",1,3,1812870,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:39:00","15:39:44","2018-06-26"
"18ASH3-F-0327",3,27,"Everest",1,3,1812871,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:40:00","15:40:07","2018-06-26"
"18ASH3-F-0400",4,0,"Everest",1,4,1812872,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:40:00","15:40:46","2018-06-26"
"18ASH3-F-0427",4,27,"Everest",1,4,1812873,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:40:00","15:40:10","2018-06-26"
"18ASH3-F-0500",5,0,"Everest",1,5,1812874,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:40:00","15:40:47","2018-06-26"
"18ASH3-F-0527",5,27,"Everest",1,5,1812875,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:41:00","15:41:28","2018-06-26"
"18ASH3-F-0600",6,0,"Everest",1,6,1812876,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:42:00","15:42:21","2018-06-26"
"18ASH3-F-0627",6,27,"Everest",1,6,1812877,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:41:00","15:41:30","2018-06-26"
"18ASH3-F-0700",7,0,"Everest",1,7,1812878,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:42:00","15:42:23","2018-06-26"
"18ASH3-F-0727",7,27,"Everest",1,7,1812879,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:58:00","15:58:43","2018-06-26"
"18ASH3-F-0800",8,0,"Everest",1,8,1812880,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:59:00","15:59:08","2018-06-26"
"18ASH3-F-0827",8,27,"Everest",1,8,1812881,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:58:00","15:58:44","2018-06-26"
"18ASH3-F-0900",9,0,"Everest",1,9,1812882,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:59:00","15:59:09","2018-06-26"
"18ASH3-F-0927",9,27,"Everest",1,9,1812883,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:59:00","15:59:30","2018-06-26"
"18ASH3-F-1000",10,0,"Everest",1,10,1812884,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:59:00","15:59:58","2018-06-26"
"18ASH3-F-1027",10,27,"Everest",1,10,1812885,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:59:00","15:59:31","2018-06-26"
"18ASH3-F-1100",11,0,"Everest",1,11,1812886,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:00:00","16:00:00","2018-06-26"
"18ASH3-F-1127",11,27,"Everest",1,11,1812887,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:00:00","16:00:26","2018-06-26"
"18ASH3-F-1200",12,0,"Everest",1,12,1812888,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:01:00","16:01:18","2018-06-26"
"18ASH3-F-1227",12,27,"Everest",1,12,1812889,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:00:00","16:00:46","2018-06-26"
"18ASH3-F-1300",13,0,"Everest",1,13,1812890,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:01:00","16:01:19","2018-06-26"
"18ASH3-F-1327",13,27,"Everest",1,13,1812891,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:01:00","16:01:36","2018-06-26"
"18ASH3-F-1400",14,0,"Everest",1,14,1812892,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:09","2018-06-26"
"18ASH3-F-1427",14,27,"Everest",2,14,1812893,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:01:00","16:01:37","2018-06-26"
"18ASH3-F-1500",15,0,"Everest",2,15,1812894,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:10","2018-06-26"
"18ASH3-F-1501",15,1,"Everest",2,15,1812895,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:11","2018-06-26"
"18ASH3-F-1502",15,2,"Everest",2,15,1812896,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:12","2018-06-26"
"18ASH3-F-1503",15,3,"TAM-105",2,15,1812897,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:12","2018-06-26"
"18ASH3-F-1504",15,4,"Everest",2,15,1812898,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:13","2018-06-26"
"18ASH3-F-1505",15,5,"Everest",2,15,1812899,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:14","2018-06-26"
"18ASH3-F-1506",15,6,"Everest",2,15,1812900,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:15","2018-06-26"
"18ASH3-F-1507",15,7,"Everest",2,15,1812901,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:15","2018-06-26"
"18ASH3-F-1508",7,2,"VONA",1,7,1812902,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:16","2018-06-26"
"18ASH3-F-1509",15,9,"Everest",2,15,1812903,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:17","2018-06-26"
"18ASH3-F-1510",15,10,"Everest",2,15,1812904,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:18","2018-06-26"
"18ASH3-F-1511",15,11,"Everest",2,15,1812905,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:18","2018-06-26"
"18ASH3-F-1512",15,12,"Everest",2,15,1812906,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:19","2018-06-26"
"18ASH3-F-1513",15,13,"Everest",2,15,1812907,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:20","2018-06-26"
"18ASH3-F-1514",15,14,"Everest",2,15,1812908,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:20","2018-06-26"
"18ASH3-F-1515",15,15,"Everest",2,15,1812909,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:21","2018-06-26"
"18ASH3-F-1516",15,16,"Everest",2,15,1812910,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:22","2018-06-26"
"18ASH3-F-1517",15,17,"Everest",2,15,1812911,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:23","2018-06-26"
"18ASH3-F-1518",15,18,"TX01M5009-28",2,15,1812912,"AWNS","Awnless",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:25","2018-06-26"
"18ASH3-F-1519",15,19,"Everest",2,15,1812913,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:26","2018-06-26"
"18ASH3-F-1520",15,20,"Everest",2,15,1812914,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:27","2018-06-26"
"18ASH3-F-1521",15,21,"Everest",2,15,1812915,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:27","2018-06-26"
"18ASH3-F-1522",15,22,"Everest",2,15,1812916,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:28","2018-06-26"
"18ASH3-F-1523",15,23,"Everest",2,15,1812917,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:28","2018-06-26"
"18ASH3-F-1524",15,24,"Everest",2,15,1812918,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:29","2018-06-26"
"18ASH3-F-1525",15,25,"Everest",2,15,1812919,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:29","2018-06-26"
"18ASH3-F-1526",15,26,"Everest",2,15,1812920,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:30","2018-06-26"
"18ASH3-F-1527",15,27,"Everest",2,15,1812921,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:31","2018-06-26"
"18ASH3-F-1600",16,0,"Everest",2,16,1812922,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:03:00","16:03:06","2018-06-26"
"18ASH3-F-1627",16,27,"Everest",2,16,1812923,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:02:00","16:02:32","2018-06-26"
"18ASH3-F-1700",17,0,"Everest",2,17,1812924,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:03:00","16:03:07","2018-06-26"
"18ASH3-F-1727",17,27,"Everest",2,17,1812925,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:03:00","16:03:29","2018-06-26"
"18ASH3-F-1800",18,0,"Everest",2,18,1812926,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:03:00","16:03:49","2018-06-26"
"18ASH3-F-1827",18,27,"Everest",2,18,1812927,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:03:00","16:03:30","2018-06-26"
"18ASH3-F-1900",19,0,"Everest",2,19,1812928,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:03:00","16:03:50","2018-06-26"
"18ASH3-F-1927",19,27,"Everest",2,19,1812929,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:05:00","16:05:38","2018-06-26"
"18ASH3-F-2000",20,0,"Everest",2,20,1812930,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:06:00","16:06:34","2018-06-26"
"18ASH3-F-2027",20,27,"Everest",2,20,1812931,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:05:00","16:05:38","2018-06-26"
"18ASH3-F-2100",21,0,"Everest",2,21,1812932,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:06:00","16:06:35","2018-06-26"
"18ASH3-F-2127",21,27,"Everest",2,21,1812933,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:07:00","16:07:52","2018-06-26"
"18ASH3-F-2200",22,0,"Everest",2,22,1812934,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:08:00","16:08:17","2018-06-26"
"18ASH3-F-2227",22,27,"Everest",2,22,1812935,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:07:00","16:07:52","2018-06-26"
"18ASH3-F-2300",23,0,"Everest",2,23,1812936,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:08:00","16:08:19","2018-06-26"
"18ASH3-F-2327",23,27,"Everest",2,23,1812937,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:09:00","16:09:01","2018-06-26"
"18ASH3-F-2400",24,0,"Everest",2,24,1812938,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:09:00","16:09:26","2018-06-26"
"18ASH3-F-2427",24,27,"Everest",2,24,1812939,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:09:00","16:09:02","2018-06-26"
"18ASH3-F-2500",25,0,"Everest",2,25,1812940,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:09:00","16:09:27","2018-06-26"
"18ASH3-F-2527",25,27,"Everest",2,25,1812941,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:10:00","16:10:31","2018-06-26"
"18ASH3-F-2600",26,0,"Everest",2,26,1812942,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:11:00","16:11:11","2018-06-26"
"18ASH3-F-2627",26,27,"Everest",2,26,1812943,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:10:00","16:10:32","2018-06-26"
"18ASH3-F-2700",27,0,"Everest",2,27,1812944,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:11:00","16:11:12","2018-06-26"
"18ASH3-F-2727",27,27,"Everest",2,27,1812945,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:14:00","16:14:11","2018-06-26"
"18ASH3-F-2800",28,0,"Everest",2,28,1812946,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:14:00","16:14:27","2018-06-26"
"18ASH3-F-2827",28,27,"Everest",2,28,1812947,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:14:00","16:14:10","2018-06-26"
"18ASH3-F-2900",29,0,"Everest",2,29,1812948,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:14:00","16:14:29","2018-06-26"
"18ASH3-F-2927",29,27,"Everest",2,29,1812949,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:16:00","16:16:49","2018-06-26"
"18ASH3-F-3000",30,0,"Everest",2,30,1812950,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:05","2018-06-26"
"18ASH3-F-3001",30,1,"Everest",2,30,1812951,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 14:55:00","14:55:21","2018-06-26"
"18ASH3-F-3002",30,2,"Everest",2,30,1812952,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:17:00","16:17:10","2018-06-26"
"18ASH3-F-3003",30,3,"ARAPAHOE",2,30,1812953,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:17:00","16:17:09","2018-06-26"
"18ASH3-F-3004",30,4,"Everest",2,30,1812954,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:17:00","16:17:06","2018-06-26"
"18ASH3-F-3005",30,5,"Everest",2,30,1812955,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:17:00","16:17:05","2018-06-26"
"18ASH3-F-3006",30,6,"Everest",2,30,1812956,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:17:00","16:17:04","2018-06-26"
"18ASH3-F-3007",30,7,"Everest",2,30,1812957,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:17:00","16:17:04","2018-06-26"
"18ASH3-F-3008",30,8,"Everest",2,30,1812958,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:17:00","16:17:03","2018-06-26"
"18ASH3-F-3009",30,9,"Everest",2,30,1812959,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:17:00","16:17:02","2018-06-26"
"18ASH3-F-3010",30,10,"Everest",2,30,1812960,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:17:00","16:17:01","2018-06-26"
"18ASH3-F-3011",30,11,"Everest",2,30,1812961,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:17:00","16:17:00","2018-06-26"
"18ASH3-F-3012",30,12,"Everest",2,30,1812962,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:17:00","16:17:00","2018-06-26"
"18ASH3-F-3013",30,13,"Everest",2,30,1812963,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:16:00","16:16:59","2018-06-26"
"18ASH3-F-3014",30,14,"Everest",2,30,1812964,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:16:00","16:16:58","2018-06-26"
"18ASH3-F-3015",30,15,"Everest",2,30,1812965,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:16:00","16:16:57","2018-06-26"
"18ASH3-F-3016",30,16,"Everest",2,30,1812966,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:16:00","16:16:57","2018-06-26"
"18ASH3-F-3017",30,17,"Everest",2,30,1812967,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:16:00","16:16:56","2018-06-26"
"18ASH3-F-3018",30,18,"Everest",2,30,1812968,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:16:00","16:16:55","2018-06-26"
"18ASH3-F-3019",30,19,"Everest",2,30,1812969,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:16:00","16:16:55","2018-06-26"
"18ASH3-F-3020",30,20,"Everest",2,30,1812970,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:16:00","16:16:54","2018-06-26"
"18ASH3-F-3021",30,21,"Everest",2,30,1812971,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:16:00","16:16:54","2018-06-26"
"18ASH3-F-3022",30,22,"Everest",2,30,1812972,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:16:00","16:16:53","2018-06-26"
"18ASH3-F-3023",30,23,"Everest",2,30,1812973,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:16:00","16:16:52","2018-06-26"
"18ASH3-F-3024",30,24,"Everest",2,30,1812974,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:16:00","16:16:52","2018-06-26"
"18ASH3-F-3025",30,25,"Everest",2,30,1812975,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:16:00","16:16:51","2018-06-26"
"18ASH3-F-3026",30,26,"Everest",2,30,1812976,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:16:00","16:16:51","2018-06-26"
"18ASH3-F-3027",30,27,"Everest",2,30,1812977,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 16:16:00","16:16:50","2018-06-26"
"18ASH30001",1,1,"ERNIE",1,1,1812978,"AWNS","Awnless",2018-06-26,"byron_evers","","","","2018-06-26 15:37:00","15:37:41","2018-06-26"
"18ASH30002",1,2,"TAM-113",1,1,1812979,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:33","2018-06-26"
"18ASH30003",1,3,"OK05122",1,1,1812980,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:34","2018-06-26"
"18ASH30004",1,4,"KAW-61",1,1,1812981,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:35","2018-06-26"
"18ASH30005",1,5,"HV9W03-1596R",1,1,1812982,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:36","2018-06-26"
"18ASH30006",1,6,"SMOKY-HILL",1,1,1812983,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:38","2018-06-26"
"18ASH30007",1,7,"STURDY-2K",1,1,1812984,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:39","2018-06-26"
"18ASH30008",1,8,"Everest",1,1,1812985,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:40","2018-06-26"
"18ASH30009",1,9,"TX04V075080",1,1,1812986,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:42","2018-06-26"
"18ASH30010",1,10,"LAMAR",1,1,1812987,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:37:00","15:37:59","2018-06-26"
"18ASH30011",1,11,"NW03666",1,1,1812988,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:38:00","15:38:00","2018-06-26"
"18ASH30012",1,12,"EXPEDITION",1,1,1812989,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:38:00","15:38:01","2018-06-26"
"18ASH30013",1,13,"MT0495",1,1,1812990,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:38:00","15:38:01","2018-06-26"
"18ASH30014",1,14,"BISON",1,1,1812991,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:38:00","15:38:02","2018-06-26"
"18ASH30015",1,15,"SD01237",1,1,1812992,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:38:00","15:38:03","2018-06-26"
"18ASH30016",1,16,"NE05496",1,1,1812993,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:38:00","15:38:04","2018-06-26"
"18ASH30017",1,17,"TX05V7269",1,1,1812994,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:38:00","15:38:05","2018-06-26"
"18ASH30018",1,18,"NE99495",1,1,1812995,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:38:00","15:38:06","2018-06-26"
"18ASH30019",1,19,"CO050337-2",1,1,1812996,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:38:00","15:38:07","2018-06-26"
"18ASH30020",1,20,"T154",1,1,1812997,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:38:00","15:38:09","2018-06-26"
"18ASH30021",1,21,"LONGHORN",1,1,1812998,"AWNS","Awnless",2018-06-26,"byron_evers","","","","2018-06-26 15:38:00","15:38:11","2018-06-26"
"18ASH30022",1,22,"BILL-BROWN",1,1,1812999,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:38:00","15:38:13","2018-06-26"
"18ASH30023",1,23,"OK1067274",1,1,1813000,"AWNS","Awnless",2018-06-26,"byron_evers","","","","2018-06-26 15:38:00","15:38:14","2018-06-26"
"18ASH30024",1,24,"G1878",1,1,1813001,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:38:00","15:38:16","2018-06-26"
"18ASH30025",1,25,"COLT",1,1,1813002,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:38:00","15:38:17","2018-06-26"
"18ASH30026",1,26,"SD05118",1,1,1813003,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:38:00","15:38:41","2018-06-26"
